Id,Score,Date,Title,Review
798058056,10,"July 19, 2021",Poor communication,"Poor communication towards freelancers. Not reliable, unreasonable and very arrogant. Would not recommend this place."
796220834,50,"July 8, 2021",Fabulous,"After an hour drive from Makkum in the Friesland province meandering through the eye catching landscape of the Netherlands finds the rural giving way to the urban landscape of Amsterdam. The walk to this hidden gem of an establishment is well worth it - from the lush gardens to the mellow ambience of the interior. Very much a plant based lunch, the convivial De Kas team add that extra appeal. Despite only opening at 12pm, our online 12:15pm booking was certainly needed with all tables full an hour or so later although you wouldn't know with the cavernous ceiling masking the general hullabaloo. De Kas is doing everything right in a most unassuming way - long may it continue. Goed gedaan"
792789843,50,"June 16, 2021",Nice Restaurant,"If you go for 6 dishes they appear to have a weekly menu of 6 options and the restaurant will serve 4 of these on any given evening. The order comes in random apart from one which is a main which is just before the 2 deserts. The amuse bouches were very very nice as were all the mains. We had a lovely deserts especially the goats cheese cheesecake. Onlyu minor gripe was waiting a little while for a bottle of wine at one point but really thats me really reaching out and trying to find any flaws with the evening. Would highly recommend. Anyone wants to know how much, 2 oysters, 6 course meal, 2 glasses of wine, a bottle of wine (all at the low end price range) came to around 100 Euros a person. I have eaten in a lot of hi end restaurants and this was more than reasonable. 5 stars highly recommended."
788354190,50,"May 9, 2021",Absolutely Delicious Food,"My new favorite restaurant in Amsterdam!It prides itself on serving creative and absolutely delicious food mostly grown on site or at their farm, complemented by some meat and seafood sourced sustainably. But at the same time, they have no issue to cater for vegetarians or any other requests.You also get extremely attentive service, that is friendly, efficient and can provide great recommendations.I can't wait to be back again very soon!"
778227856,50,"November 30, 2020",So fresh! So tasty!,Ingredients were freshly picked from the garden of the restaurant. Each dish was beautifully arranged and tasted so good. Warm and attentive service throughout the dinner.
776539041,50,"November 5, 2020",Wonderful vegetarian food - a must visit,"Truly an awesome vegetarian experience. The food is exceptional, and the ""greenhouse"" environment is out of this world. One of the best vegetarian restaurants anywhere."
773167483,50,"October 5, 2020",Just have one word for it: excellent!!,"We had a fantastic dinner, they took the Corona measurements very seriously and we felt safe all the way, the tables are set far apart in a very large restaurant. The staff was wearing masks the whole evening.De kas, greenhouse in English, delivers when it comes to food and service. Amazing tasty dishes for a more than fair price. We ate at Michelin star restaurants before and we left amazed thinking why this has not received one. We will come back 100%"
772583624,50,"September 30, 2020",Really fancy place to eat!,Extremely beautiful inside the glasshouse. Service is outstanding and waiters have good knowledge about dietary restrictions like vegan food and food allergies.
772499627,20,"September 30, 2020",Disappoiting experience,"I read the incredible positive reviews and I had very high expectations.... unfortunately not met at all.Hygiene and COVID prevention: very low. The waiters are not wearing a mask or gloves and they are coming to your table and speak to you at a very close distance.Food: some products were quite repetitive ( poor choice in a menu' that you cannot choose) and the flavors were mostly or totally absent or incredibly heavy. The brot with olives was embaressing....incredibly fat and bitter.Artichokes with thorns and a dish with almost raw pumpkin really not eatable.The amuses were fine, the bread very tasty, the dessert interesting.....I find it inappropriate to let customers pay for tab water.The service was nice and friendly, but no respect of COVID rules either in the kitchen or in the service.Honestly, after this experience, I would not come back to this place and I would not recommend it."
771311025,50,"September 21, 2020",Greenhouse Dining Experience,"Located in a greenhouse in a park, this incredible garden/green-centered restaurant that produces their own produce (some of which you can see happening).The food was fresh, bursting with flavor, and presented beautifully. I found the staff to be friendly and helpful, which only added to the overall fun vibe. Also, since they have vegan options, I am eager to take some of my friends back later this year for the experience."
770692986,10,"September 16, 2020",Total disregard for hygiene standards,"This is a beautiful and very special restaurant serving amazingly delicious food. No question. BUT: I was appalled that in Covid times, neither the kitchen staff nor the waiters were wearing masks.. Worse: The waiters still come to the table and explain every detail of the respective dish they were serving. Six courses, six different waiters, all spraying their breath over the food. This restaurant has a high chance of becoming the next super-spreader. Totally irresponsible."
770436565,40,"September 15, 2020","Nice fresh products, great location","The food was nice and fresh, and the surrounding is amazing. Service was rather good too. Some more aromatics could have been added to the dishes in our view, and some of the dishes had repetitive elements (eg: fried fish/seaweed). The starter was very light and simple.A bit disappointed about some of the local/environmental friendly aspects eg: use of UV lights to grow plants (high energy use), offering sparkling or flat water before suggesting tap water (which ended up being charged at 4 euros as well!).Still interesting flavours and lots of amuses in addition to the fixed menu. Delicious bread too!"
770198500,50,"September 13, 2020","Fresh, tasty and beautifully presented food","This restaurant is located in a park in the south of Amsterdam easily reachable by tram from the centre. The restaurant is a massive green house in which they also produce a lot of their own vegetable and herbs. There’s also a gorgeous vegetable garden around the building. Food is fresh, full of flavour and beautifully presented. Staff are friendly and extremely helpful. This is the second time I’ve visited and they never fail to impress."
764380901,10,"August 12, 2020",Long curly hair in the food,"We were really looking forward to our dinner at this restaurant and the place is beautiful, presentation was amazing however when I got to my third course which wa a stuffed zucchini I had to pull out of my throat a massive long Curley hair!! It was awful and ruined the rest of the experience, we had about 4 more courses on top and I couldn’t even eat them and enjoy them because that long hair stuffier in the zucchini was disgusting!! I want to say I would come back but the staff didn’t even apologize or do any compensation for this, instead we got a bill that was over £200. I have to say I didn’t expect they will treat us like this after this experience. We won’t be coming back. For high end place like this you would expect some sort of compensation."
762348700,40,"July 31, 2020",Restaurant De Kas - Local Affinity!,"Local Affinity!The menu tells the story of the garden. Supplemented with some fish or meat, the vegetables play the main role. Harvested from the land in the morning, served in the afternoon. The most beautiful and freshest vegetables, from plant to plate as quickly as possible (...)The lunch consisted of the following ingredients:cabbage - mullet - plums - zucchini - vanilla - beurre blanc - plaice - vadouvan - cardamom - endive - samphireAnd the result was a taste exploitation in our mouth, local flavours pure! Completed with a fine Pinot Noir Rosé sparkling wine as starter, from the south of the Netherlands and during the lunch itself, we had a delicious Pinot Noir Rosé from Austria.The service was excellent and informed us perfectly about the ingredients of each course.During good weather you can sit outside on the terrace with a beautiful view into their garden. And do not forget to take a walk through the garden after your lunch or dinner."
761620227,50,"July 26, 2020",AMAZING lunch,"I Went for an AMAZING lunch here with my family when they came to visit this week. I will be forever recommending this place to my friends and family and can not wait to go back. Everything from start to finish was spectacular, within 5 minutes of walking through the door we were sat at our table, in the beautiful greenhouse, with a glass of Dutch sparkling wine & our table was covered in plates of delicious, fresh snacks from the greenhouse. It only got better from there and every single wine pairing was perfect.They score perfect marks in every category here!"
759487444,50,"July 9, 2020",Wonderfull evening,"Very pleasant evening with overall good food some verging to the outstanding levels. Balanced and well priced wine list and friendly, attentive yet non-intrusive service. Recommended."
757911421,50,"June 21, 2020",My new favourite restaurant in Amsterdam,What a great place! The location in the Wertheim Parc is amazing. All their food is local and fresh. Staff is Very friendly and down to earth. Can’t say more then just: go here for a great expirience!
757796508,50,"June 20, 2020",5 stars,"My girlfriend and I really enjoyed this restaurant. The concept of it, the style, the food and the service, all make it a great experience. It’s the perfect place to start a romantic evening."
